stage,batch,target,book,chapter,reference,survived,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,source_summary
chapter_confirmation_l40,02,chapter_1ch_03,1 Chronicles,3,1 Chronicles 3,no,0.4,0.35,-0.05,0.425,0.4,6 chg / -2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,yes,0.4,0.425,0.025,0.35,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_1ch_13,1 Chronicles,13,1 Chronicles 13,no,0.4,0.4,0.0,0.375,0.35,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,yes,0.4,0.425,0.025,0.4,0.35,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_act_01,Acts,1,Acts 1,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_act_02,Acts,2,Acts 2,no,0.4,0.4,0.0,0.4,0.425,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_amo_02,Amos,2,Amos 2,no,0.4,0.4,0.0,0.4,0.35,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_amo_03,Amos,3,Amos 3,no,0.4,0.35,-0.05,0.4,0.375,6 chg / -2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_amo_07,Amos,7,Amos 7,no,0.4,0.35,-0.05,0.4,0.35,6 chg / -2 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
chapter_confirmation_l40,02,chapter_jdg_15,Judges,15,Judges 15,no,0.4,0.4,0.0,0.4,0.375,2 chg / +0 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapter_hits_justice_a32_ratio_l40_batch02_v1_summary.json
